F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,Class
0.03479003906037658,0.02813720702953264,0.01605224609277025,0.009033203124448656,0.006469726562105119,0.0065307617183513935,0.005249023437179625,0.005798339843396097,0.007019042968321592,0.008666992186971008,0.009521484374418854,0.013122558592949063,0.02239990234238282,0.05029296874693036,0.00946044921817258,0.041503906247466804,0.0070800781245678665,0.04052734374752641,0.005737304687149823,0.007446289062045515,0.006591796874597668,0.010375976561866701,0.01672363281147927,0.02642822265463695,0.25518798826567457,0.34985351560364664,0
0.0015258789061568677,0.0023803710936047134,0.0023803710936047134,0.00103759765618667,0.00012207031249254942,0.0015258789061568677,0.001647949218649417,0.0018310546873882413,0.0036621093747764826,0.0048217773434557016,0.011108398436821997,0.02087402343622595,0.07897949218267947,0.0723876953080818,0.020385742186255752,0.10974121093080193,0.02111816406121105,0.07336425780802219,0.03698730468524247,0.006103515624627471,0.013793945311658085,0.02551269531094283,0.033874511716682466,0.02929687499821186,0.36712646482134237,0.05841064452768489,0
0.012939453124210238,0.011901855468023569,0.0106201171868518,0.014343261717874556,0.012756347655471414,0.013305664061687886,0.009643554686911403,0.013854980467904359,0.021606445311181246,0.027648925779562444,0.03070068359187618,0.06768798827711865,0.11816406249278784,0.11254882811813056,0.07629394530784339,0.06341552733987942,0.0412597656224817,0.0316162109355703,0.01971435546754673,0.014343261717874556,0.011657714843038468,0.011474609374299645,0.01257324218673259,0.012390136717993766,0.050231933590684084,0.17730712889542802,0
0.0028686523435749113,0.003417968749791384,0.0023803710936047134,0.003784179687269032,0.00415039062474668,0.003784179687269032,0.00415039062474668,0.004943847655948252,0.0072631835933066905,0.010559082030605524,0.011718749999284744,0.016906738280218093,0.021179199217457322,0.0622558593712002,0.019409179686315357,0.049865722653206435,0.01855468749886751,0.050781249996900556,0.01373291015541181,0.011169433593068271,0.010925292968083172,0.01556396484280005,0.019653320311300456,0.02178955077992007,0.495910644500982,0.11328124999308586,0
0.007324218749552965,0.008483886718232185,0.003967285156007856,0.007141113280814141,0.007873535155769438,0.007446289062045515,0.006103515624627471,0.0067138671870902175,0.011352539061807096,0.018615722655113787,0.013549804686672984,0.026916503904607147,0.06427001952732726,0.1754760742080398,0.05468749999666214,0.0963134765566215,0.02954101562319696,0.05847167968393117,0.010375976561866701,0.01049804687435925,0.008911132811956107,0.0106201171868518,0.010986328124329448,0.030273437498152256,0.09368896483803167,0.22039794920529798,0
0.028686523435749112,0.016784667967725545,0.01245117187424004,0.010803222655590623,0.011169433593068271,0.008666992186971008,0.0106201171868518,0.015869140624031424,0.021179199217457322,0.02667236327962205,0.03344726562295854,0.04425048827854916,0.04931640624698996,0.06091308593378216,0.03924560546635464,0.039550781247586014,0.0263061523421444,0.027526855467069893,0.021179199217457322,0.01916503906133026,0.01812744140514359,0.02319335937358439,0.024963378904726354,0.023681640623554587,0.0731201171830371,0.31311035154338923,0
0.044677734372273084,0.02862548827950284,0.01721191406144947,0.013854980467904359,0.013366699217934161,0.012023925780516118,0.010314941405620425,0.010681152343098074,0.014709472655352204,0.01721191406144947,0.02215576171739772,0.03796386718518287,0.05224609374681115,0.04644775390341505,0.02551269531094283,0.023925781248539685,0.01879882812385261,0.01892089843634516,0.01361083984291926,0.011657714843038468,0.01464843749910593,0.016174316405262797,0.025390624998450278,0.024169921873524784,0.06933593749576807,0.39636230466330796,0
0.015136718749076128,0.01715087890520319,0.013977050780396908,0.011169433593068271,0.011962890624269843,0.014160156249135733,0.01245117187424004,0.0156860351552926,0.01800537109265104,0.026000976560913026,0.04101562499749661,0.07684326171405986,0.10791015624341369,0.09857177733773366,0.05822753905894607,0.048461914059542116,0.02746582031082362,0.0263061523421444,0.01257324218673259,0.01605224609277025,0.01464843749910593,0.013977050780396908,0.01605224609277025,0.01812744140514359,0.04431152343479544,0.2237548827988431,0
0.007568359374538064,0.004394531249731779,0.003417968749791384,0.0015258789061568677,0.0015258789061568677,0.0017700195311419666,0.0023193359373584388,0.0037231445310227573,0.005981445312134921,0.0053100585934259,0.006958007812075317,0.012817382811717688,0.02465820312349498,0.0791625976514183,0.019775390623793007,0.046691894528400155,0.015014648436583579,0.04003906249755621,0.005920410155888647,0.004760742187209427,0.004943847655948252,0.009826660155650228,0.01141357421805337,0.012878417967963964,0.5874023437141478,0.08020019530760497,0
0.05084228515314683,0.041320800778727976,0.02514648437346518,0.016296386717755348,0.012756347655471414,0.010925292968083172,0.00946044921817258,0.010253906249374152,0.010009765624389053,0.011901855468023569,0.011230468749314547,0.01892089843634516,0.02618408202965185,0.023254394529830663,0.010742187499344349,0.012756347655471414,0.009399414061926304,0.010070800780635327,0.00933837890568003,0.010070800780635327,0.012145996093008668,0.015930175780277698,0.020019531248778106,0.035827636716563256,0.056823730465281753,0.5183715819996111,0
0.041687011716205626,0.024841308592233807,0.01373291015541181,0.01177978515553102,0.008911132811956107,0.008056640624508261,0.007202148437060416,0.008056640624508261,0.007507324218291789,0.007873535155769438,0.007568359374538064,0.013122558592949063,0.015136718749076128,0.04888916015326604,0.007568359374538064,0.03985595702881738,0.00738525390579924,0.04138183593497425,0.007629394530784339,0.009094238280694932,0.00946044921817258,0.011352539061807096,0.01812744140514359,0.02398681640478596,0.250854492172189,0.3489379882599525,0
0.037902832028936594,0.035827636716563256,0.017456054686434568,0.012756347655471414,0.010742187499344349,0.011169433593068271,0.007873535155769438,0.012512207030486316,0.015747070311538876,0.01739501953018829,0.018981933592591434,0.028076171873286367,0.03155517577932403,0.0412597656224817,0.02862548827950284,0.02893066406073421,0.016418457030247895,0.015624999999046325,0.012207031249254941,0.01245117187424004,0.013122558592949063,0.01660156249898672,0.021057128904964775,0.028747558591995386,0.06945800780826061,0.43749999997329714,0
0.01373291015541181,0.01141357421805337,0.009887695311896504,0.010192871093127876,0.007690429687030613,0.008361816405739636,0.0067138671870902175,0.010192871093127876,0.010925292968083172,0.014282226561628282,0.013916015624150634,0.027282714842084794,0.03851318359139934,0.07476806640168651,0.029113769529473036,0.05834960937143862,0.020812988279979676,0.05529785155912489,0.01489257812409103,0.01348876953042671,0.014099121092889457,0.016235351561509074,0.019775390623793007,0.023132324217338116,0.24700927732867375,0.22991943357971684,0
0.015136718749076128,0.01715087890520319,0.013977050780396908,0.011169433593068271,0.011962890624269843,0.014160156249135733,0.01245117187424004,0.0156860351552926,0.01800537109265104,0.026000976560913026,0.04101562499749661,0.07684326171405986,0.10791015624341369,0.09857177733773366,0.05822753905894607,0.048461914059542116,0.02746582031082362,0.0263061523421444,0.01257324218673259,0.01605224609277025,0.01464843749910593,0.013977050780396908,0.01605224609277025,0.01812744140514359,0.04431152343479544,0.2237548827988431,0
