F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Class
0.03775024414004898,0.05641174316320173,0.030761718749530615,0.06629943847555086,0.12106323242002773,0.11373901367013949,0.042495727538414074,0.06352233886621823,0.3730926513614946,0.094863891600115,0
0.0011444091796700378,0.0040740966796253344,0.0005035400390548167,0.02406311035119533,0.01132202148420224,0.09826660156100057,0.004180908203061205,0.025695800780857914,0.8227691650265081,0.007980346679565731,0
0.012649536132619484,0.03965759277283238,0.009246826171733906,0.07958984374878557,0.12068176269347106,0.21624755859045033,0.04071044921812881,0.07728576660038322,0.34233093261196396,0.06159973144437257,0
0.006881713867082494,0.015670776366948386,0.004913330078050029,0.026138305663663663,0.054992675780410886,0.09284973144389573,0.014892578124772758,0.027648925780828115,0.7153015136609604,0.04071044921812881,0
0.006805419921771159,0.031311035155772236,0.0059967041014709985,0.04888916015550401,0.10072326660002559,0.2614288330038234,0.032989501952621625,0.05529785156165623,0.4035339355407176,0.05302429199137842,0
0.022338867187159137,0.048431396483636,0.01332092285135924,0.06980895995987231,0.10020446777190851,0.192184448239255,0.03955078124939651,0.08012390136596491,0.36000061034606934,0.07403564453012032,0
0.037139892577558294,0.05581665038977331,0.020736694335621086,0.0997924804672273,0.1996765136688282,0.1465454101540139,0.049530029296119236,0.08283996581904847,0.2015838623016116,0.10633850097493991,0
0.013671874999791386,0.03300476074168389,0.008621215820180952,0.08169555663937843,0.10581970214682283,0.24829101562121142,0.04223632812435553,0.06698608398335289,0.34037780761199377,0.059295654295970224,0
0.004241943359310273,0.012802124023242156,0.002761840820270358,0.014526367187278347,0.033218383788555635,0.10111999511564454,0.005722045898350189,0.020370483398126672,0.7857360839723857,0.019500732421577443,0
0.05004882812423632,0.08619689941274725,0.06085205078032148,0.11761474609195535,0.17626953124731035,0.14366149902124542,0.07441711425667699,0.08670043945180207,0.07836914062380419,0.1258697509746419,0
0.044357299804010666,0.06423950195214478,0.03576660156195425,0.06542968749900163,0.09667968749852479,0.10226440429531458,0.054641723631978736,0.06823730468645879,0.3635253906194531,0.1048583984359,0
0.03738403320255457,0.080871582030016,0.01994323730438319,0.08279418945186166,0.1000213623031613,0.16020202636474304,0.052505493163261335,0.1048126220687132,0.22297668456691017,0.13848876952913686,0
0.009246826171733906,0.032485961913566806,0.008697509765492287,0.05415344238198619,0.07832336425661739,0.15632629394292716,0.03256225585887814,0.05828857421786059,0.5062866210860247,0.0636291503896541,0
0.013671874999791386,0.03300476074168389,0.008621215820180952,0.08169555663937843,0.10581970214682283,0.24829101562121142,0.04223632812435553,0.06698608398335289,0.34037780761199377,0.059295654295970224,0
0.003204345703076106,0.014404296874780209,0.004425048828057479,0.05360412597574457,0.07510375976447901,0.2505798339805515,0.030303955077662603,0.04219055175716873,0.5021972656173371,0.023986816405883994,0
0.013153076171674301,0.030670166015157013,0.009567260742041516,0.04005432128845132,0.0625610351552954,0.13607788085729863,0.027267456054271434,0.04714965820240556,0.5720367431553339,0.06146240234281217,0
0.0362548828119468,0.07263183593639173,0.024841308593370956,0.06866455078020227,0.09696960449070788,0.12994384765426722,0.0554046630850921,0.07867431640504953,0.30609130858907946,0.13052368163863337,0
0.0035400390624459837,0.00938415527329431,0.0026092529296476864,0.02912902831986803,0.048400878905511466,0.22209167480129868,0.015899658202882392,0.027206420898022367,0.6247558593654671,0.01698303222630336,0
0.023925781249634924,0.052337646483576396,0.01936340332001704,0.059020996092849415,0.09927368163911021,0.12213134765438644,0.04400634765557852,0.058746337889728606,0.4310607910090476,0.09013366699081218,0
0.022583007812155415,0.061782836913119775,0.012420654296685478,0.09208679199078237,0.11448669433419058,0.21075439452803416,0.051315307616404494,0.0977478027328835,0.22303771972315925,0.11378479003732629,0
0.011245727538890905,0.02761840820270358,0.010070800781096333,0.029968261718292723,0.06654357910054713,0.09733581542820229,0.01947021484345291,0.040847778319689214,0.6437225341698651,0.053176879882001094,0
0.03668212890569028,0.06947326660050243,0.02204895019497606,0.08549499511588296,0.13252258300579037,0.15493774413826086,0.061889648436555644,0.09344482421732415,0.21118164062177763,0.1323242187479809,0
0.007965087890503464,0.029800415038607784,0.006576538085837151,0.072647094725454,0.1017913818343843,0.3185577392529517,0.032089233397947864,0.060882568358446014,0.3155517578076851,0.054138183592923925,0
